Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Bangladesh,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,203,,20,E,110,,55,E,13,E,23,,0,...,0,...,0,...,2,,4,,10,E,11,,2,,17,,60,E,51,E,388,,1088,,2796,,625,,479,,2106,E,1359,E,2099,,4342,,1777,,2544,,3026,,4023,,7706,,6716,,7117,,13104,,10204,,25979,,54503,,75348,E,117940,,98652,E,103052,E,129200,E,127285.91,E
Barbados,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,34,,9,,2,,1,,2,,9,,1,,18,,8,,13,,27,,25,E,102,,33,,5,,19,,42,,56,,85,,209,,115,,258,,249,,208,,276,,327,,206,,238,,234,,380,,212,,230,,166,,50,,100,,123,,129,,151,,174,,187,,237,,159,,142,,96.9,
Barbados,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,1288,,1426,,1848,,1690,,1531,,2299,,2354,,1448,,1769,,1842,,1875,,1900,E,1664,,2430,,2100,,2157,,1502,,1859,,1928,,2209,,2185,,2773,,1654,,2820,,3318,,3837,,4370,,4390,,4110,,7654,,6070,,5885,,5509,,5151,,4976,,5472,,5708,,4691,,5420,,5807,,5749,,7041,,7602,,6857.1,
Barbados,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,15,,36,,28,,135,,21,,8,,5,,0,...,0,...,0,...,0,...,0,...,0,...,19,,16,,12,,8,,3,,2,,8,,18,,19,,13,,16,,16,,19,,12,,0,...,0,...,4,,3,,0,N,0,...,5,,0,...,0,...,21,,20,,9,,10,,15,,8,,0,...,0,...
Belarus,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,96,E,160,E,63,E,0,...,7238,,6708,,13253,,10333,,9271,,13468,,17353,,20633,,27689,,33157,,37191,,21353,,23856,,28231,,31834,,37291,,45554,,50416,,56797,,66823,,67876,,74369.2,
Belarus,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7118,E,51272,,72115,,91305,,89964,,70712,,112314,,122143,,128532,,125953,,137930,,143837,,140299,,140503,,147520,,131371,,124611,,113563,,123440,,130773,,144401,,128358,,121607,,154782,,147566,,143362.73,
Belgium,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,26444,,26223,,34364,,29709,,39643,,48252,,48929,,68548,,75039,,44564,,27847,,31215,,29184,,31057,,37558,,31514,,26281,,30237,,31562,,39582,,38087,,39497,,41659,,48355,,62799,,51912,,54892,,64960,,71725,,80618,,88084,,71302,,68437,,84388,,71834,,64217,,65834,,55841,,64058,,70464,,73809,,76142,,82015,,77994.59,
Belgium,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,125095,,114656,,105740,,121560,,129391,,124418,,144156,,130475,,154857,,158235,,151664,,155296,,145455,,171283,,175469,,156379,,153188,,148857,,186841,,193138,,158561,,165217,,139288,,149549,,154451,,124360,,118133,,122264,,134637,,143844,,139988,,130654,,132072,,143383,,133601,,125206,,123029,,121596,,125677,,127016,,141613,,143013,,145694,,141760.49,
Belize,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,247,,294,,264,,206,,155,,240,,218,,299,,138,,102,,174,,297,,260,,221,,198,,202,,176,,68,,38,,75,,188,,155,,51,,56,,29,,1076,,38,,80,,175,,228,,310,,225,,1307,,972,,1286,,661,,269,,276,,164,E,164,,156,,124,,91,,71.12,
Belize,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,129,,135,,120,,203,,261,,173,,110,,52,,184,,114,,149,,298,,148,,375,,174,,210,,225,,165,,136,,189,,159,,163,,198,,883,,1584,,5980,,4760,,7091,,1941,,2643,,1909,,1250,,1224,,732,,548,,171,,284,,277,,250,,588,,726,,471,,585,,431.06,
