Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Bolivia (Plurinat.State),"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,N,0,...,0,N,0,...,0,...,4,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Bosnia and Herzegovina,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,E,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,N,0,...,0,...
Bosnia and Herzegovina,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,E,0,...,0,...,0,...,0,...,1,E,2,E,1,,1,,0,N,7,,1,,4,,0,N,0,N,1,,0,N,6,,0,N,1,,0,N,2,,6,,0.85,
Botswana,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,130,,0,...,0.24,
Botswana,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,1,,0,N,1,,0,N,0,N,0,N,0,N,0,N,0.25,
Brazil,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,93,,97,,115,,117,,130,,170,,141,,176,,217,,245,,371,,346,,500,,373,,407,,289,,220,,37,,8,,9,,98,,0,N,40,,82,,179,,166,,131,,169,,113,,85,,49,,84,,1123,,1705,,1280,,1524,,1333,,588,,1049,,1249.07,
Brazil,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6,,73,,2,,4,,159,,371,,213,,277,,1740,,2464,,2621,,3484,,4650,,5498,,9014,,10258,,12245,,11816,,18439,,22147,,19769,,21067,,23046,,20786,,18683,,13775,,17217,,20799,,18373,,15865.34,
Brunei Darussalam,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,12,E,0,...,4,E,0,...,0,...,0,...,2,E,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Brunei Darussalam,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,7,,28,,19,,19,,29,,31,,20,,38,,53,,26,,25,,1,E,22,E,4,E,16,E,4,E,5,E,0,...,0,...,0,...,1,E,0,...,0,...,1,E,3,E,0,N,17,,3,,0,N,0,...,0,N,1,E,0,...,0,...,3,E,0,...,91,,81,,82,,121,,104,,18,,0,...,0,...
Brunei Darussalam,"Sharks, rays, chimaeras",Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,1,,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
